label	Sample collection date	Sample collection date decimal
Coli_000338	2009-07-01	2009.495890410959
Coli_000339	2009-07-01	2009.495890410959
Coli_000340	2009-07-01	2009.495890410959
Coli_000341	2009-07-01	2009.495890410959
Coli_000342	2010-07-01	2010.495890410959
Coli_000343	2010-07-01	2010.495890410959
Coli_000344	2010-07-01	2010.495890410959
Coli_000345	2010-07-01	2010.495890410959
Coli_000346	2010-07-01	2010.495890410959
Coli_000347	2011-07-01	2011.495890410959
Coli_000348	2011-07-01	2011.495890410959
Coli_000349	2011-07-01	2011.495890410959
Coli_000350	1996-07-01	1996.4972677595629
Coli_000351	1997-07-01	1997.495890410959
Coli_000352	1997-07-01	1997.495890410959
Coli_000353	1997-07-01	1997.495890410959
Coli_000354	1997-07-01	1997.495890410959
Coli_000355	1997-07-01	1997.495890410959
Coli_000356	1997-07-01	1997.495890410959
Coli_000357	1998-07-01	1998.495890410959
Coli_000358	1998-07-01	1998.495890410959
Coli_000359	1998-07-01	1998.495890410959
Coli_000360	1998-07-01	1998.495890410959
Coli_000361	1998-07-01	1998.495890410959
Coli_000362	1998-07-01	1998.495890410959
Coli_000363	1999-07-01	1999.495890410959
Coli_000364	1999-07-01	1999.495890410959
Coli_000365	1999-07-01	1999.495890410959
Coli_000366	1999-07-01	1999.495890410959
Coli_000367	1999-07-01	1999.495890410959
Coli_000368	2000-07-01	2000.4972677595629
Coli_000369	2000-07-01	2000.4972677595629
Coli_000370	2000-07-01	2000.4972677595629
Coli_000371	2000-07-01	2000.4972677595629
Coli_000372	2000-07-01	2000.4972677595629
Coli_000373	2000-07-01	2000.4972677595629
Coli_000374	2000-07-01	2000.4972677595629
Coli_000375	2000-07-01	2000.4972677595629
Coli_000376	2001-07-01	2001.495890410959
Coli_000377	2001-07-01	2001.495890410959
Coli_000378	2001-07-01	2001.495890410959
Coli_000379	2001-07-01	2001.495890410959
Coli_000380	2001-07-01	2001.495890410959
Coli_000381	2001-07-01	2001.495890410959
Coli_000382	2001-07-01	2001.495890410959
Coli_000383	2001-07-01	2001.495890410959
Coli_000384	2001-07-01	2001.495890410959
Coli_000385	2002-07-01	2002.495890410959
Coli_000386	2002-07-01	2002.495890410959
Coli_000387	2002-07-01	2002.495890410959
Coli_000388	2002-07-01	2002.495890410959
Coli_000389	2002-07-01	2002.495890410959
Coli_000390	2003-07-01	2003.495890410959
Coli_000391	2003-07-01	2003.495890410959
Coli_000392	2003-07-01	2003.495890410959
Coli_000393	2004-07-01	2004.4972677595629
Coli_000394	2005-07-01	2005.495890410959
Coli_000395	2006-07-01	2006.495890410959
Coli_000396	2006-07-01	2006.495890410959
Coli_000397	2007-07-01	2007.495890410959
Coli_000398	2008-07-01	2008.4972677595629
Coli_000399	2008-07-01	2008.4972677595629
Coli_000400	2008-07-01	2008.4972677595629
Coli_000401	2008-07-01	2008.4972677595629
Coli_000402	2009-07-01	2009.495890410959
Coli_000403	2009-07-01	2009.495890410959
Coli_000404	2009-07-01	2009.495890410959
Coli_000405	2010-07-01	2010.495890410959
Coli_000406	2010-07-01	2010.495890410959
Coli_000407	2011-07-01	2011.495890410959
Coli_000408	2011-07-01	2011.495890410959
Coli_000409	2011-07-01	2011.495890410959
Coli_000410	2011-07-01	2011.495890410959
Coli_000411	2011-07-01	2011.495890410959
Coli_000412	2011-07-01	2011.495890410959
